Prompt,Source,Source Sub-category ,Year,Maturity,Tag,Description,,Transcript
CarbonLess Electric AviatioN (Tennessee Technological University),UI,ULI Award - Mar 2023,2023,,,"The team aims to develop a preliminary design for an electrified 150-passenger aircraft that uses an ammonia-based integrated propulsion, power, and thermal management system.",,
Zero-Carbon Engine Core with Supercritical Carbon Dioxide Power Cycle for Onboard Power (U Central Florida),UI,ULI Award - Dec 2021,2021,,,"The team will explore using liquid ammonia – a non-traditional source – as fuel for a jet engine and generating electricity from the engine’s exhaust heat, reducing emissions, and saving on fuel.",,
Integrated Zero-Emission Aviation using a Robust Hybrid Architecture (Florida State U),UI,ULI Award - Dec 2021,2021,,,The team will consider how hybrid hydrogen-electric power generation could be combined with fuel cell technology to lower emissions.,,
Lowering Emissions and Environmental Impact from Civil Supersonic Transport (Georgia Tech),UI,ULI Award - Dec 2021,2021,,,The team will turn its attention to sustainable aviation challenges related to a jet engine’s combustor but in this case the engine is powering a commercial supersonic transport.,,
Leading Advanced Turbine Research for Hybrid Electric Propulsion Systems (Penn State),UI,ULI Award - Jan 2021,2021,,,"The team will work to identify the optimal design of a gas turbine engine that could be used in a future single-aisle, medium- and short-haul aircraft that uses hybrid-electric propulsion.",,
Center for Cryogenic High-Efficiency Electrical Technologies for Aircraft (U. Illinois),UI,ULI Award - May 2019,2019,,,"This team will examine the use of liquid hydrogen (LH2) in fuel cells that generate electricity to power an electrically driven aircraft propulsion system. The supercold LH2 also would be used to enable highly efficient superconducting electrical systems.

In addition to producing several novel superconducting electrical system components, the team plans to come up with a design concept that integrates these components and ideas into an aircraft similar in size and capabilities to a modern single-aisle, twin-engine airliner.

Under this program the team has banded together to form the Center for Cryogenic High-Efficiency Electrical Technologies for Aircraft, or CHEETA, to develop systems that may one day result in quiet, efficient propulsion systems that produce zero carbon dioxide and other harmful emissions.

Project Description
The aeronautics industry has been challenged on many fronts to 
increase efficiency, reduce emissions, and decrease dependency on 
carbon-based fuels.  With subsonic transports serving as the dominant 
contributor to the fuel consumption and carbon footprint of global 
aviation, the need for environmentally-responsible transportation has 
been met with a boom of research in the field of aircraft propulsion 
electrification across industry, government, and academic 
organizations.  However, adoption of electrified propulsion systems for 
large commercial aircraft today is unattainable, due to the lack of 
motors and power electronics appropriately sized for these vehicles, 
high weight requirements of conventional electrical energy storage 
systems, and new principles required to design these classes of 
aircraft.  The mission of the Center for High-Efficiency 
Electrical Technologies for Aircraft (CHEETA) program is to develop, 
mature, and design disruptive technologies for electric commercial 
aviation.  The associated technologies being researched include 
distributed aero-propulsion system integration, high-efficiency 
electrochemical power conversion, flight-weight electric machines and 
power electronics, materials and systems for superconducting 
high-efficiency power transmission, and methods for complex system 
integration and optimization.  Additionally, the current program is 
investigating the use of unconventional energy storage and power 
generation architectures, such as liquid hydrogen fuel and 
high-efficiency fuel cell systems.  The research program provides
 a direct line-of-sight to not only achieving, but potentially even 
exceeding the aviation community goals for transition to alternative 
propulsion and energy through convergence of various novel 
technologies.  The end result of maturation and integration of these 
technologies is an aircraft system with a quiet, efficient propulsion 
system that produces zero carbon dioxide, nitrogen oxides, and 
particulate matter emissions at the vehicle level. 
Anticipated Benefits
Through this project, an entirely new class of electrical machines and drive systems will be developed, which can be applied to future electric aircraft or other markets such as wind energy, marine and ground transportation systems, remote power generation, and space systems. The research through this program on distributed propulsion and aero-propulsive integration will produce more energy-efficient commercial aircraft with improved safety and tolerance to failures.  Development of superconducting technologies will also facilitate dramatic improvements in power density of electric machines and ultra-efficient high-power electrical transmission.  Finally, the research being conducted through this study represents a brand new technology field which, if matured, will lead to US leadership in product development and export.",,
Electric Propulsion: Challenges and Opportunities (Ohio State U),UI,ULI Award - April 2017,2017,,,"The team will examine electric propulsion, including areas of battery and energy storage and thermal management, among others.

Project Description
This project will design, build, and test a 1 megawatt electric
 machine and thermal management system that is targeted for aircraft 
propulsion applications and achieves a specific power density exceeding 
14 kilowatt/kilogram (active mass) with 99% efficiency.  The machine 
will be integrated with its power electronics drive operating at 
voltages greater than 2000 Volt dc and achieving a 25 power density and 
99% efficiency.  The machine will be studied as part of an overall 
aircraft system which will include an energy management system.  The
 system integration work is led by Georgia Tech.  After first providing 
the initial requirements for the mission, they then resized the vehicle 
based on the preliminary technology goals.  Trade studies were performed
 and showed not only the benefits of distributed propulsion but also the
 contribution of the hybridization of the system on a regional 
aircraft.  A hybrid-distributed propulsion provided at 15% fuel burn 
reduction compared to a next generation A320 aircraft. With the addition
 of boundary layer ingestion (yet to be demonstrated) we can achieve a 
significant reduction of fuel burn and carbon dioxide emission of 23%.  Power
 electronics work is being performed at Ohio State's Center for High 
Performance Power Electronics (CHPPE) lab.  The team is developing 
advanced technology required to achieve high-efficiency 
high-power-density power electronics converters that achieve reliable 
operation with 2 kilovolt dc bus voltage in a harsh working environment.  Efforts are in 3 major technology areas:  Partial discharge study for power electronics and electric machines at low air density;Power module and power converter designs to achieve high power density;Advanced control strategies and protection schemes for aircraft onboard power  The
 work completed thus far has shown that the target power densities are 
achievable and most importantly that partial discharge at low ambient 
pressure can be controlled.  The focus on energy storage is to 
integrate the electro-mechanical thermal characterization methods with 
the performance, safety and durability of the battery cells.  The team 
at Ohio State's Center for Automotive Research is working with the most 
advanced cell producers to design and demonstrate novel Energy Storage 
System based on lithium-ion batteries and is optimizing the integration 
of these cells for the airplane mission.  The aim of this technical thrust is:   Characterization
 and modeling of high energy density state of the art and advanced 
battery technologies based on experimental testing, including energy 
density assessment, electro-thermal modeling, aging models, analysis of 
behavior at extreme conditions;Design exploration for high 
level pack sizing under performance, durability, cost and weight 
constraints (activity in collaboration with Georgia Tech);Battery
 Management System for pack control and safe operation, including 
dynamic power limits estimation of the cells considering temperature and
 aging, estimation of state of charge and state of health, safe 
operation at high voltage, cell balancing;Pack Architecture 
(modules and submodules) that enhances modularity, capability of 
reconfiguration and adaptation in case of fault, self-diagnosis, and 
operation with state-of-the-art charging infrastructures.  A
 high performing motor was identified early as one of the challenges of 
the program. A thorough integration of the mechanical and 
electromagnetic design were required.  The Center of Design and 
Manufacturing Excellence (CDME) at The Ohio State University was engaged
 early to work with the University of Wisconsin team to develop the 
motor.  The teams have worked closely to develop a well-integrated 
design could be made available first in a 200 kilowatt machine and then 
in a 1 megawatt motor.  The team plans to run the 200 kilowatt machine 
in the laboratory and the 1 megawatt machine at the NASA Electric 
Aircraft Testbed facility.  Thermal cooling for a high megawatt 
electrical machine is undoubtedly a major challenge.  The thermal 
management system is being addressed by the University of Maryland and 
North Carolina A&T State University.  New designs were investigated 
and the team kept close communication as to what was needed between 
these Universities as well as the University of Wisconsin and Center of 
Design and Manufacturing Excellence (CDME) at The Ohio State University 
as they worked on the development and production of the 200 kilowatt and
 1 megawatt reliable design.  
Anticipated Benefits
This project will demonstrate capabilities required for adoption of electric machines for aircraft propulsion in the commercial aircraft fleet with the objective of reducing measurable carbon dioxide impact from large commercial aircraft (regional, single and twin aisle).",,
"Advanced Aerodynamic Design Center for Ultra-Efficient Commercial Vehicles (University of Tennessee, Knoxville)",UI,ULI Award - April 2017,2017,,,"The team will research designs of ultra-efficient aerodynamic wings that could enable significant savings in fuel or energy consumption. 

Project Description
Led by the University of Tennessee, Knoxville, the goal of this University Leadership Initiative (ULI) project is to demonstrate a viable aerodynamic wing-design concept that enables a 70% reduction in aircraft fuel/energy consumption relative to 2005 baseline for revolutionary and transformational aircraft configurations. This is being accomplished within a five-year project timeline to further the development and maturation of the slotted, natural-laminar-flow airfoil concept through both computational and experimental research activities. Evaluation of the impact of this advanced concept is being completed in all core areas of aeronautics, with specific consideration to aerodynamics, structures, propulsion, stability & control, and acoustics.
Research personnel for the Advanced Aerodynamic Design Center for Ultra-Efficient Commercial Vehicles is comprised of university faculty and students at six universities (Pennsylvania State University, Rutgers University, Texas A&M University, the University of Illinois at Urbana-Champaign, the University of Wyoming, and the University of Tennessee, Knoxville) and two industry partners (Airfoils, Inc. and Boeing Research & Technology). In addition to the achievement of progress milestones toward the project's research activities goals (development of design/optimization software modules, fluidic oscillator configuration tool, slotted, natural-laminar-flow wing geometry, wind-tunnel data, various reports and documentation), this ULI project is highly invested in providing quality, meaningful research opportunities to graduate and undergraduate students within collaborating institutions. To date, more than two dozen college students have contributed on this project through research and educational outreach programming, which consists of the development and teaching of STEM-focused learning modules at local K-12 programs. as well as local Boys and Girls Clubs.

Anticipated Benefits
The primary focus of this ULI project is to support technology development that enables 100+ passenger aircraft to satisfy N+2 (mid-term) and N+3 (far-term) fuel/energy consumption goals. These aircraft classes represent over 85% of the current total commercial aircraft fuel consumption in the United States, a percentage forecasted to increase over the next several decades. The 100-210-passenger class aircraft, currently typified by single-aisle, transonic, tube-and-wing configurations, represents approximately half of the total fleet fuel consumption. Performance improvements and fuel-burn reductions for these vehicle classes have the largest impact on total fleet fuel consumption.

Recent NASA-funded concept studies at Boeing and MIT have yielded N+3 design concepts with 154- and 180-passenger capacities, respectively. In both design concepts, attaining natural laminar flow on the main wing is an enabling technology for meeting the performance goals. ULI research activities focus on the further maturation and system integration of the slotted, natural-laminar-flow (SNLF) airfoil, which is a potentially disruptive and revolutionary concept that shows great potential for reducing wing profile drag and enabling N+3-level performance gains for fixed-wing commercial air vehicles.",,
"Investigation on Cryogenic Fluid Chill-Down Time for Supersonic Transport Usage (University of Washington, Seattle)",UI ,USRC Award,2024,,,Investigating reducing the boil-off of cryogenic fluids in pipes using vortex generators.,,
Clean Forever-Flying Drones: Utilizing Ocean Water for Hydrogen Extraction in Climate Monitoring (Purdue University),UI ,USRC Award,2023,,,An ocean-based fueling station and a survey drone that can refuel in remote areas.,,
"Drone Based Water Sampling and Quality Testing – Special Application in the Raritan River (Rutgers University, New Brunswick)",UI ,USRC Award,2023,,,An autonomous water sampling drone system.,,
"Low Cost and Efficient eVTOL Platform Leveraging Opensource for Accessibility (University of Nevada, Las Vegas)",UI ,USRC Award,2022,,,"Lowering the barrier of entry into eVTOL deployment and development with a low cost, efficient, and open source eVTOL platform",,
"Underwing Distributed Ducted Fan ‘FanFoil’ Concept for Transformational Aerodynamic and Aeroacoustic Performance (Texas Tech University, Lubbock)",UI ,USRC Award,2022,,,Novel highly under-cambered airfoils with electric ducted fans featuring ’samara’ maple seed inspired blades for eVTOL application,,
Aerial Intra-city Delivery Electric Drones (AIDED) with High Payload Capacity (Michigan State University),UI ,USRC Award,2021,,,A high-payload capacity delivery drone capable of safely latching and charging on electrified public transportation systems,,
AVIS: Active Vortex Inducing System for Flow Separation Control to Improve Airframe Efficiency (Georgia Institute of Technology,UI ,USRC Award,2020,,,Use an array of vortex generators that can be adjusted throughout flight to increase wing efficiency,,
"Hybrid Airplanes - An Optimum and Modular Approach (California Polytechnic State University, San Luis Obispo)",UI ,USRC Award,2019,,,Model and test powertrain to maximize the efficiency of hybrid airplanes,,
How could climate change be a forcing function for adopting measurement and accounting standards for climate change credits including carbon and other types of credits (e.g. credits for lithium battery recycling?),CAS ,Discovery: GeoEngineering,,Low,climate,,,
"How might genetically engineering, or other, technology meant for CO2 capture disrupt other portions of the ecosystem.",CAS ,Discovery: GeoEngineering,,Low,climate,,,
"How, and who decides, does genetically engineered  technology get introduced into environment, marketplace, or commercially? How is it done now?",CAS ,Discovery: GeoEngineering,,Low,climate,,,
How might monitoring improve equity of Climate Change outcomes?,CAS ,Discovery: GeoEngineering,,Low,climate,,,
How might we improve the equity of participation of LMIC communities impacted by Climate Change?,CAS ,Discovery: GeoEngineering,,Low,climate,,,
"What changes to oceanic ecosystems may be sustainable and positive in terms of mitigating climate change and supporting human civilizations on the ocean or below the water, and how could these be achieved?",CAS ,Discovery: GeoEngineering,,Low,climate,,,
"How can the increasing number of earth science databases enable planet-scale earth system management coordination through aviation via monitoring, sampling, and active modification?",CAS ,Discovery: GeoEngineering,,Low,climate,,,
How might private enterprise (e.g. consumer packaged goods) drive policy change around climate and the adoption of standards for climate accounting and climate credit trading?,CAS ,Discovery: GeoEngineering,,Low,climate,,,
Coastal airports are susceptible to climate impacts,CAS ,Discovery: Powering Sustainable Airports,,,climate,"Engineer multi-layered, adaptive infrastructures that serve as both airports and coastal defense structures, dynamically responding to changing sea levels.",,
Remote access and disaster readiness are often lacking,CAS ,Discovery: Powering Sustainable Airports,,,climate,Develop pop-up airport capabilities with rapid-deployment infrastructure for emergency response and remote operations.,,
Airfield surfaces are susceptible to environmental damage,CAS ,Discovery: Powering Sustainable Airports,,,climate,Engineer a range of different sized capacity repair drones that maintain self-repairing runways (bio-concrete and materials that respond to weather changes).,,
"Given its possible role in overall public health, what regulations/restrictions may be imposed on aviation in the future? ",CAS ,Discovery: Health & Wellness,,Medium,"climate, health","Why is this a problem? 
As new pandemics arise, they will likely impact aviation in a negative way, e.g., new restrictions to slow the spread of the pathogens, resulting in a loss of revenue (fewer passengers flying) and additional operational costs (mitigation measures). 
What capabilities may be needed to address the problem? 
Real-time monitoring of air and passengers to detect pathogens, as well as enhanced filtering of air flows. 
What trends might enable problem exploration and solution? 
Spread of new variants of COVID and new pathogens will motivate/incentivize problem solution. 
Reach - How many people, communities are going to be impacted or are impacted by the problem? 
Billions of passengers per year, all around the world. 
Impact - What is the scale of the impact? (high, medium, low)?
High impact, given the extensive reach and importance of aviation to the global economy. 
Confidence - How confident are we in the impact and reach determinations? 
Medium. 
Effort – what is the effort/scale needed to address? Wickedness? CAS-ARMD/NASA aligned? 
Large effort to solve this big problem, which has a strong aeronautics connection; hence CAS-worthy. 
Part of broader conversation to regulate aviation to reduce negative impacts - TSP_AVIATION-2050_SYNTHESE_ENG.pdf (theshiftproject.org) 
Smaller companies get away with more but do more damage. 
How does oligopoly impact regulation? ",,
How might we employ AI to improve disaster response and humanitarian aid efforts?,CAS ,Discovery: Health & Wellness,,Medium,weather and disasters,"AI can significantly improve the effectiveness and efficiency of disaster response and humanitarian aid efforts by providing real-time insights, optimizing resource allocation, and supporting decision-making in complex, rapidly evolving situations. Machine learning algorithms can analyze satellite imagery and social media data to assess the extent of damage and identify areas most in need of assistance. AI-powered predictive models can forecast the spread of infectious diseases or the likelihood of aftershocks following an earthquake, allowing responders to prioritize their efforts. Autonomous vehicles and drones equipped with AI can deliver supplies and conduct search and rescue operations in hazardous or hard-to-reach areas. By harnessing the power of AI, humanitarian organizations can respond more quickly, allocate resources more effectively, and ultimately save more lives in the aftermath of disasters.",,
"AEROcAST - Advanced Exploration of Reliable Operation in Low Altitude Meteorology, Simulation, and Technology",CAS ,Execution,,High,weather and disasters,"Create a weather sensing, modeling, and reasoning framework for enabling weather tolerant operations
Make urban spaces friendlier to flight where architecture of large structures in cities are known to create turbulent wind flows
Enhanced safety and efficiency of AAM in adverse weather conditions
More efficient vertiport operations
Improved navigation and decreased turbulence in urban environments
Filling the gap of weather observations in the atmospheric boundary layer and better understanding of wind flows in the urban environment
Improved weather forecasts for many applications
",,
"How might data technologies incentivize actors across multiple sectors and levels to take on activities that lead to disaster mitigation (e.g. improve building standards, reduce fuels that could feed wildfires, build resiliency into communities and companies)?",CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
How does climate change and severe weather events impact the % of airspace that is navigable by aircraft?,CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
How are increasing number of tornadoes affecting the need for aerospace vehicles that interact with storms to study them and and potentially alter them by physical disruption through new vehicle designs?,CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
How does climate change and severe weather events impact the viability of current military installations from a geographical standpoint?,CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
"How might increased monitoring of weather and the environment improve routing models and vehicle design for safer and more reliable transportation via AI, IoT, wearables, etc.?",CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
How might weather changes impact the viability of long-range ocean transport e.g. commercial shipping?,CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
And by extension - How does climate change and severe weather events impact the viability of current civilian installations(needed infra such as airports) from a geographical standpoint?,CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
"How might the coordination of geoengineering efforts across universities, public and private organizations be leveraged to reduce severe weather events?",CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
How might weather manipulation (like cloud seeding) reduce ocean acidification and soil degradation?,CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
"How might data technologies incentivize actors across multiple sectors and levels to take on activities that lead to disaster mitigation (e.g. improve building standards, reduce fuels that could feed wildfires, build resiliency into communities and companies)?",CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
How does climate change and severe weather events impact the % of airspace that is navigable by aircraft?,CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
How are increasing number of tornadoes affecting the need for aerospace vehicles that interact with storms to study them and and potentially alter them by physical disruption through new vehicle designs?,CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
How does climate change and severe weather events impact the viability of current military installations from a geographical standpoint?,CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
"How might increased monitoring of weather and the environment improve routing models and vehicle design for safer and more reliable transportation via AI, IoT, wearables, etc.?",CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
How might weather changes impact the viability of long-range ocean transport e.g. commercial shipping?,CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
And by extension - How does climate change and severe weather events impact the viability of current civilian installations(needed infra such as airports) from a geographical standpoint?,CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
"How might the coordination of geoengineering efforts across universities, public and private organizations be leveraged to reduce severe weather events?",CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
How might weather manipulation (like cloud seeding) reduce ocean acidification and soil degradation?,CAS ,Discovery: GeoEngineering,,Low,weather and disasters,,,
How might we employ AI to improve disaster response and humanitarian aid efforts?,CAS ,Discovery: Health & Wellness,,Medium,weather and disasters,"AI can significantly improve the effectiveness and efficiency of disaster response and humanitarian aid efforts by providing real-time insights, optimizing resource allocation, and supporting decision-making in complex, rapidly evolving situations. Machine learning algorithms can analyze satellite imagery and social media data to assess the extent of damage and identify areas most in need of assistance. AI-powered predictive models can forecast the spread of infectious diseases or the likelihood of aftershocks following an earthquake, allowing responders to prioritize their efforts. Autonomous vehicles and drones equipped with AI can deliver supplies and conduct search and rescue operations in hazardous or hard-to-reach areas. By harnessing the power of AI, humanitarian organizations can respond more quickly, allocate resources more effectively, and ultimately save more lives in the aftermath of disasters.",,
"AEROcAST - Advanced Exploration of Reliable Operation in Low Altitude Meteorology, Simulation, and Technology",CAS ,Execution,,High,weather and disasters,"Create a weather sensing, modeling, and reasoning framework for enabling weather tolerant operations
Make urban spaces friendlier to flight where architecture of large structures in cities are known to create turbulent wind flows
Enhanced safety and efficiency of AAM in adverse weather conditions
More efficient vertiport operations
Improved navigation and decreased turbulence in urban environments
Filling the gap of weather observations in the atmospheric boundary layer and better understanding of wind flows in the urban environment
Improved weather forecasts for many applications
",,
